,,Subject,,,fz098,
471,70.092,Entry,1,Trial,,
472,70.092,Reg,1,Trial,    9.000,
473,70.093,Exit,1,Trial,Time,
474,70.093,Entry,2,ITI,,
475,70.093,Reg,6,ITItime, 2255.775,
476,70.899,Input,6,On1B2,,
477,70.960,Input,38,Off1B2,,
478,72.307,Input,6,On1B2,,
479,72.349,Exit,2,ITI,Time,
480,72.349,Entry,3,Wait,,
481,72.360,Input,38,Off1B2,,
482,72.635,Input,6,On1B2,,
483,72.635,Exit,3,Wait,6,
484,72.635,Entry,18,Punish,,
485,72.696,Input,38,Off1B2,,
486,73.301,Input,6,On1B2,,
487,73.365,Input,38,Off1B2,,
488,73.448,Input,6,On1B2,,
489,73.520,Input,38,Off1B2,,
490,73.635,Exit,18,Punish,Time,
491,73.635,Entry,3,Wait,,
492,73.838,Input,6,On1B2,,
493,73.838,Exit,3,Wait,6,
494,73.838,Entry,18,Punish,,
495,73.921,Input,38,Off1B2,,
496,73.974,Input,6,On1B2,,
497,74.047,Input,38,Off1B2,,
498,74.401,Input,6,On1B2,,
499,74.483,Input,38,Off1B2,,
500,74.653,Input,6,On1B2,,
501,74.716,Input,38,Off1B2,,
502,74.839,Exit,18,Punish,Time,
503,74.839,Entry,3,Wait,,
504,75.339,Exit,3,Wait,Time,
505,75.339,List,,TrialType2,    9.000,
506,75.339,Entry,9,CueRight,,
507,75.439,Exit,9,CueRight,Time,
508,75.439,Entry,10,DeadRight,,
509,75.539,Exit,10,DeadRight,Time,
510,75.539,Entry,11,WaitForLickRight,,
511,75.591,Input,6,On1B2,,
512,75.591,Exit,11,WaitForLickRight,6,
513,75.591,Entry,12,HitRight,,
514,75.592,Exit,12,HitRight,Time,
515,75.592,Entry,16,WaterOut,,
516,75.667,Exit,16,WaterOut,Time,
517,75.667,Entry,17,WaterConsumption,,
518,75.667,Reg,14,CupUp, 1925.000,
519,75.673,Input,38,Off1B2,,
520,75.949,Input,6,On1B2,,
521,76.001,Input,38,Off1B2,,
522,76.733,Input,6,On1B2,,
523,76.794,Input,38,Off1B2,,
524,77.093,Input,6,On1B2,,
525,77.156,Input,38,Off1B2,,
526,77.593,Exit,17,WaterConsumption,Time,
527,77.593,Entry,19,TrialEnd,,
528,77.593,Reg,3,ActionRate,    1.000,
529,77.593,Reg,4,LeftCorrect,    1.000,
530,77.593,Reg,5,RightCorrect,    0.800,
531,77.594,Exit,19,TrialEnd,Time,
532,77.594,Entry,1,Trial,,
533,77.594,Reg,1,Trial,   10.000,
534,77.596,Exit,1,Trial,Time,
535,77.596,Entry,2,ITI,,
536,77.596,Reg,6,ITItime, 3150.057,
537,78.845,Input,6,On1B2,,
538,78.906,Input,38,Off1B2,,
539,79.043,Input,6,On1B2,,
540,79.125,Input,38,Off1B2,,
541,79.753,Input,6,On1B2,,
542,79.814,Input,38,Off1B2,,
543,79.978,Input,6,On1B2,,
544,80.049,Input,38,Off1B2,,
545,80.585,Input,6,On1B2,,
546,80.647,Input,38,Off1B2,,
547,80.747,Exit,2,ITI,Time,
548,80.747,Entry,3,Wait,,
549,80.939,Input,6,On1B2,,
550,80.939,Exit,3,Wait,6,
551,80.939,Entry,18,Punish,,
552,81.012,Input,38,Off1B2,,
553,81.104,Input,6,On1B2,,
554,81.186,Input,38,Off1B2,,
555,81.513,Input,6,On1B2,,
556,81.595,Input,38,Off1B2,,
557,81.815,Input,6,On1B2,,
558,81.918,Input,38,Off1B2,,
559,81.939,Exit,18,Punish,Time,
560,81.939,Entry,3,Wait,,
561,82.439,Exit,3,Wait,Time,
562,82.439,List,,TrialType2,    4.000,
563,82.439,Entry,4,CueLeft,,
564,82.539,Exit,4,CueLeft,Time,
565,82.539,Entry,5,DeadLeft,,
566,82.640,Exit,5,DeadLeft,Time,
567,82.640,Entry,6,WaitForLickLeft,,
568,83.677,Input,5,On1B1,,
569,83.677,Exit,6,WaitForLickLeft,5,
570,83.677,Entry,7,HitLeft,,
571,83.679,Exit,7,HitLeft,Time,
572,83.679,Entry,16,WaterOut,,
573,83.739,Input,37,Off1B1,,
574,83.754,Exit,16,WaterOut,Time,
575,83.754,Entry,17,WaterConsumption,,
576,83.754,Reg,14,CupUp, 1925.000,
577,84.641,Input,6,On1B2,,
578,84.712,Input,38,Off1B2,,
579,85.680,Exit,17,WaterConsumption,Time,
580,85.680,Entry,19,TrialEnd,,
581,85.680,Reg,3,ActionRate,    1.000,
582,85.680,Reg,4,LeftCorrect,    1.000,
583,85.680,Reg,5,RightCorrect,    0.800,
584,85.682,Exit,19,TrialEnd,Time,
585,85.682,Entry,1,Trial,,
586,85.682,Reg,1,Trial,   11.000,
587,85.683,Exit,1,Trial,Time,
588,85.683,Entry,2,ITI,,
589,85.683,Reg,6,ITItime, 2976.040,
590,86.975,Input,6,On1B2,,
591,87.046,Input,38,Off1B2,,
592,87.566,Input,6,On1B2,,
593,87.638,Input,38,Off1B2,,
594,88.281,Input,6,On1B2,,
595,88.333,Input,38,Off1B2,,
596,88.411,Input,6,On1B2,,
597,88.472,Input,38,Off1B2,,
598,88.660,Exit,2,ITI,Time,
599,88.660,Entry,3,Wait,,
600,88.750,Input,6,On1B2,,
601,88.750,Exit,3,Wait,6,
602,88.750,Entry,18,Punish,,
603,88.822,Input,38,Off1B2,,
604,88.936,Input,6,On1B2,,
605,88.998,Input,38,Off1B2,,
606,89.084,Input,6,On1B2,,
607,89.146,Input,38,Off1B2,,
608,89.711,Input,6,On1B2,,
609,89.750,Exit,18,Punish,Time,
610,89.750,Entry,3,Wait,,
611,89.783,Input,38,Off1B2,,
612,89.996,Input,6,On1B2,,
613,89.996,Exit,3,Wait,6,
614,89.996,Entry,18,Punish,,
615,90.077,Input,38,Off1B2,,
616,90.212,Input,6,On1B2,,
617,90.274,Input,38,Off1B2,,
618,90.603,Input,6,On1B2,,
619,90.655,Input,38,Off1B2,,
620,90.712,Input,6,On1B2,,
621,90.796,Input,38,Off1B2,,
622,90.997,Exit,18,Punish,Time,
623,90.997,Entry,3,Wait,,
624,91.160,Input,6,On1B2,,
625,91.160,Exit,3,Wait,6,
626,91.160,Entry,18,Punish,,
627,91.241,Input,38,Off1B2,,
628,91.615,Input,6,On1B2,,
629,91.696,Input,38,Off1B2,,
630,92.158,Input,6,On1B2,,
631,92.160,Exit,18,Punish,Time,
632,92.160,Entry,3,Wait,,
633,92.239,Input,38,Off1B2,,
634,92.637,Input,6,On1B2,,
635,92.637,Exit,3,Wait,6,
636,92.637,Entry,18,Punish,,
637,92.729,Input,38,Off1B2,,
638,93.579,Input,6,On1B2,,
639,93.631,Input,38,Off1B2,,
640,93.637,Exit,18,Punish,Time,
